timestamp_s,range_m,range_cm
0.004472,0.330000,33.0000
0.069050,0.330000,33.0000
0.117251,0.330000,33.0000
0.164677,0.330000,33.0000
0.212449,0.330000,33.0000
0.276810,0.330000,33.0000
0.324496,0.330000,33.0000
0.372507,0.330000,33.0000
0.420957,0.330000,33.0000
0.485590,0.330000,33.0000
0.533493,0.330000,33.0000
0.581207,0.330000,33.0000
0.645019,0.330000,33.0000
0.693548,0.330000,33.0000
0.741887,0.330000,33.0000
0.789064,0.330000,33.0000
0.853900,0.330000,33.0000
0.900911,0.330000,33.0000
0.949359,0.330000,33.0000
1.013124,0.330000,33.0000
1.061281,0.330000,33.0000
1.109938,0.330000,33.0000
1.156650,0.330000,33.0000
1.220517,0.330000,33.0000
1.269743,0.330000,33.0000
1.316663,0.330000,33.0000
1.364489,0.330000,33.0000
1.429910,0.330000,33.0000
1.477879,0.330000,33.0000
1.525062,0.330000,33.0000
1.588555,0.330000,33.0000
1.637697,0.330000,33.0000
1.685036,0.330000,33.0000
1.733931,0.330000,33.0000
1.798484,0.330000,33.0000
1.845008,0.330000,33.0000
1.893904,0.330000,33.0000
1.941402,0.330000,33.0000
2.005118,0.330000,33.0000
2.053429,0.330000,33.0000
2.101011,0.330000,33.0000
2.148744,0.330000,33.0000
2.212679,0.330000,33.0000
2.260684,0.330000,33.0000
2.308730,0.330000,33.0000
2.356656,0.330000,33.0000
2.420728,0.330000,33.0000
2.469898,0.330000,33.0000
2.517379,0.330000,33.0000
2.581375,0.330000,33.0000
2.629972,0.330000,33.0000
2.678010,0.330000,33.0000
2.725031,0.330000,33.0000
2.790115,0.330000,33.0000
2.837466,0.330000,33.0000
2.885685,0.330000,33.0000
2.933076,0.330000,33.0000
2.981741,0.330000,33.0000
3.046037,0.330000,33.0000
3.093404,0.330000,33.0000
3.140945,0.330000,33.0000
3.204842,0.330000,33.0000
3.253419,0.330000,33.0000
3.301282,0.330000,33.0000
3.348820,0.330000,33.0000
3.396765,0.330000,33.0000
3.461249,0.330000,33.0000
3.509120,0.330000,33.0000
3.557109,0.330000,33.0000
3.621695,0.330000,33.0000
3.669497,0.330000,33.0000
3.718035,0.330000,33.0000
3.765409,0.330000,33.0000
3.830108,0.330000,33.0000
3.877062,0.330000,33.0000
3.925003,0.330000,33.0000
3.973286,0.330000,33.0000
4.037536,0.330000,33.0000
4.085923,0.330000,33.0000
4.133102,0.330000,33.0000
4.180879,0.330000,33.0000
4.228858,0.330000,33.0000
4.293086,0.330000,33.0000
4.340758,0.330000,33.0000
4.388903,0.330000,33.0000
4.453444,0.330000,33.0000
4.501457,0.330000,33.0000
4.549220,0.330000,33.0000
4.596898,0.330000,33.0000
4.661160,0.330000,33.0000
4.709643,0.330000,33.0000
4.758285,0.330000,33.0000
4.805969,0.330000,33.0000
4.869842,0.330000,33.0000
4.917005,0.330000,33.0000
4.965066,0.330000,33.0000
5.093709,0.330000,33.0000
5.109072,0.330000,33.0000
5.156950,0.330000,33.0000
5.220930,0.330000,33.0000
5.269024,0.330000,33.0000
5.316978,0.330000,33.0000
5.364889,0.330000,33.0000
5.429919,0.330000,33.0000
5.478008,0.330000,33.0000
5.525731,0.330000,33.0000
5.589748,0.330000,33.0000
5.637328,0.330000,33.0000
5.687022,0.330000,33.0000
5.733752,0.330000,33.0000
5.797463,0.330000,33.0000
5.845059,0.330000,33.0000
5.893129,0.330000,33.0000
5.941583,0.330000,33.0000
6.006046,0.330000,33.0000
6.053979,0.330000,33.0000
6.101529,0.330000,33.0000
6.149123,0.330000,33.0000
6.213050,0.330000,33.0000
6.262409,0.330000,33.0000
6.309144,0.330000,33.0000
6.373182,0.330000,33.0000
6.422490,0.330000,33.0000
6.470486,0.330000,33.0000
6.533967,0.330000,33.0000
6.582416,0.330000,33.0000
6.630486,0.330000,33.0000
6.678196,0.330000,33.0000
6.741871,0.330000,33.0000
6.790063,0.330000,33.0000
6.838290,0.330000,33.0000
6.902213,0.330000,33.0000
6.950592,0.330000,33.0000
6.998254,0.330000,33.0000
7.046207,0.330000,33.0000
7.110256,0.330000,33.0000
7.157401,0.330000,33.0000
7.205282,0.330000,33.0000
7.269721,0.330000,33.0000
7.317326,0.330000,33.0000
7.365287,0.330000,33.0000
7.430226,0.330000,33.0000
7.477966,0.330000,33.0000
7.526218,0.330000,33.0000
7.590244,0.330000,33.0000
7.638242,0.330000,33.0000
7.685903,0.330000,33.0000
7.749611,0.330000,33.0000
7.798338,0.330000,33.0000
7.846622,0.330000,33.0000
7.910639,0.330000,33.0000
7.958217,0.330000,33.0000
8.006402,0.330000,33.0000
8.070021,0.330000,33.0000
8.118445,0.330000,33.0000
8.165429,0.330000,33.0000
8.213271,0.330000,33.0000
8.278680,0.330000,33.0000
8.325407,0.330000,33.0000
8.373274,0.330000,33.0000
8.438168,0.330000,33.0000
8.486026,0.330000,33.0000
8.534749,0.330000,33.0000
8.582723,0.330000,33.0000
8.646737,0.330000,33.0000
8.694670,0.330000,33.0000
8.742140,0.330000,33.0000
8.806080,0.330000,33.0000
8.854107,0.330000,33.0000
8.902244,0.330000,33.0000
8.966757,0.330000,33.0000
9.014734,0.330000,33.0000
9.062156,0.330000,33.0000
9.125751,0.330000,33.0000
9.173500,0.330000,33.0000
9.221446,0.330000,33.0000
9.285982,0.330000,33.0000
9.333366,0.330000,33.0000
9.381465,0.330000,33.0000
